link;scrapeado
/Restaurant_Review-g294074-d10451353-Reviews-The_Bakery_Pasteleria_Cafe-Bogota.html;False
/Restaurant_Review-g294074-d10454918-Reviews-SPRITZ_MILANO-Bogota.html;False
/Restaurant_Review-g294074-d10455510-Reviews-El_Veromanzo_Gourmet-Bogota.html;False
/Restaurant_Review-g294074-d10457702-Reviews-Fudo_Asiatico_Moderno-Bogota.html;False
/Restaurant_Review-g294074-d10459284-Reviews-Pizzas_del_Carajo-Bogota.html;False
/Restaurant_Review-g294074-d10460325-Reviews-Rompecabezas_Restaurant-Bogota.html;False
/Restaurant_Review-g294074-d10461454-Reviews-La_Tasca_de_Braulio-Bogota.html;False
/Restaurant_Review-g294074-d10461819-Reviews-Casa_del_queso-Bogota.html;False
/Restaurant_Review-g294074-d10462149-Reviews-Blueberry_Batidos_y_Maltedas-Bogota.html;False
/Restaurant_Review-g294074-d10464026-Reviews-Crepes_Waffles-Bogota.html;False
/Restaurant_Review-g294074-d10468192-Reviews-Estrella_Andina_SAS-Bogota.html;False
/Restaurant_Review-g294074-d10469099-Reviews-Chorizo_Santarrosano-Bogota.html;False
/Restaurant_Review-g294074-d1047147-Reviews-Restaurante_Mi_Peru-Bogota.html;False
/Restaurant_Review-g294074-d1047402-Reviews-La_Taqueria-Bogota.html;False
/Restaurant_Review-g294074-d10476693-Reviews-McDonald_s-Bogota.html;False
/Restaurant_Review-g294074-d10485570-Reviews-Creato-Bogota.html;False
/Restaurant_Review-g294074-d10487471-Reviews-Cigarreria_Royal_Panaderia_y_Pasteleria-Bogota.html;False
/Restaurant_Review-g294074-d10487476-Reviews-Cafe_Santo-Bogota.html;False
/Restaurant_Review-g294074-d10488154-Reviews-La_Barra_Hamburguesas_De_Tradicion-Bogota.html;False
/Restaurant_Review-g294074-d10488965-Reviews-General_Michel-Bogota.html;False
/Restaurant_Review-g294074-d10492827-Reviews-Il_Pimenton_Frutos_De_La_Tierra-Bogota.html;False
/Restaurant_Review-g294074-d10493367-Reviews-Bogota_Beer_Company-Bogota.html;False
/Restaurant_Review-g294074-d1049549-Reviews-Sandwich_Qbano-Bogota.html;False
/Restaurant_Review-g294074-d10497132-Reviews-Mezzo_Giorno-Bogota.html;False
/Restaurant_Review-g294074-d10497298-Reviews-Conosur-Bogota.html;False
/Restaurant_Review-g294074-d1049843-Reviews-Central_Cevicheria_cll_85-Bogota.html;False
/Restaurant_Review-g294074-d10500506-Reviews-Espiral-Bogota.html;False
/Restaurant_Review-g294074-d10508651-Reviews-Raw-Bogota.html;False
/Restaurant_Review-g294074-d1051035-Reviews-Lenos_y_Carbon-Bogota.html;False
/Restaurant_Review-g294074-d10512032-Reviews-Sopas_de_Mama_y_Postres_de_la_Abuela-Bogota.html;False
/Restaurant_Review-g294074-d10515682-Reviews-Tr3s_Cu4rtos_Parrilla_Express-Bogota.html;False
/Restaurant_Review-g294074-d10515700-Reviews-Tres_Cuartos_Parrilla_Express-Bogota.html;False
/Restaurant_Review-g294074-d10516124-Reviews-Hamburguesas_El_Corral_Pepe_Sierra-Bogota.html;False
/Restaurant_Review-g294074-d10516634-Reviews-Kottbullar-Bogota.html;False
/Restaurant_Review-g294074-d10519589-Reviews-La_Meresunda-Bogota.html;False
/Restaurant_Review-g294074-d10527504-Reviews-Carnaval_Restaurante_Parrilla_Y_Bar-Bogota.html;False
/Restaurant_Review-g294074-d10531124-Reviews-Burger_s_Parrilla_Chapinero-Bogota.html;False
/Restaurant_Review-g294074-d1053223-Reviews-La_Hamburgeseria-Bogota.html;False
/Restaurant_Review-g294074-d10537704-Reviews-Quatro_Mesas-Bogota.html;False
